Наименование;Артикул;Бренд;Модель;Наличие;Цена;Старая цена;Ссылка на карточку с товаром
Мобильный телефон NOKIA 230 Dual Sim серый черный;   8843087;NOKIA;230 Dual Sim;38;4320 руб;4520 руб;https://parsinger.ru/html/mobile/2/2_21.html
Мобильный телефон Alcatel 1066D белый;  80185430;Alcatel;1066D;25;2620 руб;2860 руб;https://parsinger.ru/html/mobile/2/2_22.html
Мобильный телефон Philips Xenium E172 черный;  80587797;Philips;Xenium E172;5;2700 руб;3000 руб;https://parsinger.ru/html/mobile/2/2_23.html
Мобильный телефон Alcatel 3025X серый;  8035877917;Alcatel;3025X;35;6600 руб;6900 руб;https://parsinger.ru/html/mobile/2/2_24.html
Мобильный телефон Philips Xenium E255 черный CTE255BK/00;80310838;Philips;Xenium E255;19;3480 руб;3880 руб;https://parsinger.ru/html/mobile/2/2_25.html
Мобильный телефон Texet TM-D429 антрацит;80365448;Texet;Xenium E255;12;1930 руб;2130 руб;https://parsinger.ru/html/mobile/2/2_26.html
Телефон Alcatel 2019G серый;80328164;Alcatel;2019G;32;4660 руб;5660 руб;https://parsinger.ru/html/mobile/2/2_27.html
Мобильный телефон Alcatel OT-3025X серебристый;80213684;Alcatel;OT-3025X;32;6600 руб;7160 руб;https://parsinger.ru/html/mobile/2/2_28.html
Мобильный телефон Digma Linx A230WT 2G черный 2.31” Bluetooth;80220467;Digma;Linx A230WT 2G;42;4100 руб;4660 руб;https://parsinger.ru/html/mobile/2/2_29.html
Fly Ezzy Trendy 1;80365445;Fly;Linx A230WT 2G;14;2030 руб;2410 руб;https://parsinger.ru/html/mobile/2/2_30.html
Fly S240 Dark Grey;80388618;Fly;S240;24;1600 руб;1990 руб;https://parsinger.ru/html/mobile/2/2_31.html
Телефон NOKIA 3310 Dual серый;80035627;NOKIA;3310 Dual;2;6510 руб;7010 руб;https://parsinger.ru/html/mobile/2/2_32.html
Проводная игровая мышь Vampire RGB;80563851;Defender;Vampire RGB;140;1610 руб;1710 руб;https://parsinger.ru/html/mouse/3/3_1.html
Defender Halo Z GM-430L;80244227;Defender;Halo Z GM-430L;87;550 руб;1550 руб;https://parsinger.ru/html/mouse/3/3_2.html
Мышь беспроводная Defender Shark 2 чёрный USB;80530370;Defender;Shark 2;65;1480 руб;1980 руб;https://parsinger.ru/html/mouse/3/3_3.html
Мышь проводная Defender sTarx GM-390L чёрный USB;80244229;Defender;sTarx GM-390L;55;730 руб;1230 руб;https://parsinger.ru/html/mouse/3/3_4.html
Defender Skull GM-180L чёрный USB;80039351;Defender;Skull GM-180L;55;485 руб;985 руб;https://parsinger.ru/html/mouse/3/3_5.html
Мышь проводная Defender Killer GM-170L чёрный USB 52170;80039353;Defender;Killer GM-170L;15;550 руб;1550 руб;https://parsinger.ru/html/mouse/3/3_6.html
Мышь проводная Defender Ghost GM-190L чёрный USB 52190;80039354;Defender;Ghost GM-190L;25;600 руб;1250 руб;https://parsinger.ru/html/mouse/3/3_7.html
Мышь проводная Defender Witcher GM-990 чёрный USB;80369131;Defender;Witcher GM-990;25;730 руб;930 руб;https://parsinger.ru/html/mouse/3/3_8.html
Logitech G305 LIGHTSPEED Wireless Gaming Mouse;80553232;Logitech;G305 LIGHTSPEED Wireless Gaming Mouse - LILAC;25;8920 руб;10920 руб;https://parsinger.ru/html/mouse/3/3_9.html
Logitech G102 LIGHTSYNC Gaming LILAC;80554448;Logitech;G102 LIGHTSYNC Gaming LILAC;25;4350 руб;5350 руб;https://parsinger.ru/html/mouse/3/3_10.html
Мышь Logitech G PRO HERO Black USB проводная;80247044;Logitech;G PRO HERO;55;5100 руб;5900 руб;https://parsinger.ru/html/mouse/3/3_11.html
Logitech G402 Hyperion Fury;8675403;Logitech;G PRO HERO;27;4400 руб;5000 руб;https://parsinger.ru/html/mouse/3/3_12.html
Мышь беспроводная STM 109CW чёрный USB;86275403;STM;109CW;127;455 руб;500 руб;https://parsinger.ru/html/mouse/3/3_13.html
Мышь проводная Defender MB-986 чёрный USB;80603934;Defender;MB-986;550;270 руб;400 руб;https://parsinger.ru/html/mouse/3/3_14.html
Мышь проводная Gembird MG-520 чёрный USB;80216417;Gembird;MG-520;150;720 руб;850 руб;https://parsinger.ru/html/mouse/3/3_15.html
Мышь проводная CBR CM 846 Armor чёрный USB;80606384;CBR;CM 846 Armor;99;790 руб;999 руб;https://parsinger.ru/html/mouse/3/3_16.html
Мышь проводная Гарнизон GM-720G чёрный USB;80166285;CBR;GM-720G;81;600 руб;860 руб;https://parsinger.ru/html/mouse/3/3_17.html
Мышь проводная Гарнизон GM-700G чёрный USB;80148902;Гарнизон;GM-700G;21;425 руб;560 руб;https://parsinger.ru/html/mouse/3/3_18.html
Мышь проводная Гарнизон GM-760G чёрный USB;80148901;Гарнизон;GM-760G;61;610 руб;960 руб;https://parsinger.ru/html/mouse/3/3_19.html
Мышь проводная Гарнизон GM-730G чёрный USB;80148484;Гарнизон;GM-730G;41;580 руб;840 руб;https://parsinger.ru/html/mouse/3/3_20.html
Мышь проводная Гарнизон GM-620G чёрный USB;80148483;Гарнизон;GM-620G;121;385 руб;500 руб;https://parsinger.ru/html/mouse/3/3_21.html
Мышь проводная A4TECH Bloody Q51 чёрный USB;80090478;A4TECH;Bloody Q51;91;1320 руб;1500 руб;https://parsinger.ru/html/mouse/3/3_22.html
MGK-03U Dialog Gan-Kata - игровая;80234480;Dialog;MGK-03U Gan-Kata;50;260 руб;420 руб;https://parsinger.ru/html/mouse/3/3_23.html
Defender Flash MB-600L;80244813;Defender;Flash MB-600L;160;245 руб;400 руб;https://parsinger.ru/html/mouse/3/3_24.html
Gembird MG-550;80244813;Gembird;MG-550;60;830 руб;1000 руб;https://parsinger.ru/html/mouse/3/3_25.html
Lenovo Legion M200 RGB Gaming Mouse;80538807;Lenovo;Legion M200;36;1460 руб;1620 руб;https://parsinger.ru/html/mouse/3/3_26.html
Sven RX-G750 чёрный USB;80558868;Sven;RX-G750;86;1590 руб;1620 руб;https://parsinger.ru/html/mouse/3/3_27.html
Wired Gaming Mouse;80529373;Canyon;-;54;960 руб;1220 руб;https://parsinger.ru/html/mouse/3/3_28.html
MSI Clutch GM08;80563231;MSI;Clutch GM08;94;1690 руб;2220 руб;https://parsinger.ru/html/mouse/3/3_29.html
Gembird MG-760;80564137;Gembird;MG-760;57;640 руб;1220 руб;https://parsinger.ru/html/mouse/3/3_30.html
MGK-11U Dialog Gan-Kata;80564156;Dialog;MGK-11U;27;435 руб;690 руб;https://parsinger.ru/html/mouse/3/3_31.html
Logitech G102 LIGHTSYNC;80413190;Logitech;G102 LIGHTSYNC;127;2180 руб;2890 руб;https://parsinger.ru/html/mouse/3/3_32.html
Жесткий диск 3.5 2 Tb 5900 rpmrpm 64 MbMb cache Seagate ST2000VX008 SATA III 6 Gb/s;8958218;Seagate;G102 LIGHTSYNC;37;12240 руб;15240 руб;https://parsinger.ru/html/hdd/4/4_1.html
Жесткий диск 3.5 500 Gb 7200rpm 64Mb cache Toshiba HDWD105UZSVA;8818642;Toshiba;HDWD105UZSVA;37;6200 руб;7200 руб;https://parsinger.ru/html/hdd/4/4_2.html
Жесткий диск 3.5 500Gb 7200rpm HP SATAIII QK554AA;8628555;HP;QK554AA;17;14360 руб;15560 руб;https://parsinger.ru/html/hdd/4/4_3.html
Жесткий диск Seagate Original SATA-III 2Tb ST2000NM000A Exos 7E8 (7200rpm) 256Mb 3.5;80562356;Seagate;ST2000NM000A;37;18690 руб;19690 руб;https://parsinger.ru/html/hdd/4/4_4.html
Жесткий диск 3.5 2 Tb 7200 rpmrpm 128 MbMb cache HGST Ultrastar 7K2 SATA III 6 Gb/s 1W10002;8945373;HGST;Ultrastar 7K2;57;25430 руб;27350 руб;https://parsinger.ru/html/hdd/4/4_5.html
Жесткий диск 3.5 1 Tb 7200 rpmrpm 64 MbMb cache Seagate ST1000DM010 SATA III 6 Gb/s;8957757;Seagate;ST1000DM010;61;7180 руб;8180 руб;https://parsinger.ru/html/hdd/4/4_6.html
Жесткий диск 3.5 4 Tb 5400 rpmrpm 128 MbMb cache Toshiba S300 Surveillance SATA III 6 Gb/s;89573757;Toshiba;S300 Surveillance;42;10710 руб;11180 руб;https://parsinger.ru/html/hdd/4/4_7.html
Жесткий диск 3.5 2 Tb 7200rpm 128Mb cache Toshiba MG04SCA20EE SAS;8988540;Toshiba;MG04SCA20EE;32;11010 руб;12620 руб;https://parsinger.ru/html/hdd/4/4_8.html
Жесткий диск 3.5 3 Tb 7200rpm 64Mb cache Toshiba HDWD130UZSVA SATA III 6 Gb/s;8822188;Toshiba;HDWD130UZSVA;132;11600 руб;12480 руб;https://parsinger.ru/html/hdd/4/4_9.html
HDD Toshiba X300 SATA3 6Tb 3.57200 256Mb (analog HDWR160UZSVA);80585205;Toshiba;-;14;20820 руб;21870 руб;https://parsinger.ru/html/hdd/4/4_10.html
Жесткий диск 3.5 4 Tb 7200 rpmrpm 256 MbMb cache Seagate ST4000NM002A SATA III 6 Gb/s;80387011;Seagate;ST4000NM002A;9;20460 руб;22390 руб;https://parsinger.ru/html/hdd/4/4_11.html
Жесткий диск 3.5 6 Tb 5400 rpmrpm 256 MbMb cache Seagate Skyhawk ST6000VX001 SATA III 6 Gb/s;80185134;Seagate;Skyhawk ST6000VX001;19;21590 руб;22520 руб;https://parsinger.ru/html/hdd/4/4_12.html
Жесткий диск 3.5 4 Tb 5400 rpmrpm 256 MbMb cache Seagate Barracuda SATA III 6 Gb/s ST4000DM004;80014276;Seagate;Barracuda;39;13330 руб;14250 руб;https://parsinger.ru/html/hdd/4/4_13.html
Жесткий диск Toshiba SATA-III 6Tb HDWR160UZSVA X300 (7200rpm) 256Mb 3.5;80575673;Toshiba;HDWR160UZSVA;19;20810 руб;21810 руб;https://parsinger.ru/html/hdd/4/4_14.html
Жесткий диск 3.52 Tb 5900rpm 64Mb cache Seagate IronWolf SATA III 6 Gb/s ST2000VN004;8958216;Seagate;IronWolf;15;13120 руб;14510 руб;https://parsinger.ru/html/hdd/4/4_15.html
Жесткий диск Toshiba SATA-III 6Tb HDWT860UZSVA Surveillance S300 (5400rpm) 256Mb 3.5;80577948;Seagate;HDWT860UZSVA;25;16480 руб;17160 руб;https://parsinger.ru/html/hdd/4/4_16.html
Жесткий диск 3.5 16 Tb 7200 rpmrpm 256 MbMb cache Seagate ST16000NM001G SATA III 6 Gb/s;80395596;Seagate;ST16000NM001G;125;70200 руб;72200 руб;https://parsinger.ru/html/hdd/4/4_17.html
Жесткий диск 3.5 2 Tb 5400 rpmrpm 128 MbMb cache Toshiba HDWD220UZSVA SATA III 6 Gb/s;80544434;Toshiba;HDWD220UZSVA;12;8170 руб;8830 руб;https://parsinger.ru/html/hdd/4/4_18.html
Жесткий диск 3.5 6 Tb 7200rpm 128Mb cache Toshiba X300 SATA III 6 Gb/s (HDWR160EZSTA);80540551;Toshiba;X300;22;21310 руб;22310 руб;https://parsinger.ru/html/hdd/4/4_19.html
Жесткий диск 3.5 3 Tbrpm 256 MbMb cache Seagate Barracuda ST3000DM007 SATA III 6 Gb/s;80062968;Seagate;Barracuda ST3000DM007;17;9050 руб;9950 руб;https://parsinger.ru/html/hdd/4/4_20.html
Жесткий диск 3.5 6 Tb 7200rpm 128Mb cache Toshiba SATAIII HDWE160UZSVA;8983665;Toshiba;HDWE160UZSVA;45;16020 руб;17020 руб;https://parsinger.ru/html/hdd/4/4_21.html
Жесткий диск 3.5 8 Tb 7200 rpmrpm 256 MbMb cache Toshiba HDWR480EZSTA SATA III 6 Gb/s;80590182;Toshiba;HDWR480EZSTA;5;25460 руб;26460 руб;https://parsinger.ru/html/hdd/4/4_22.html
Жесткий диск 3.5 2 Tb 5400rpm 256Mb cache Western Digital WD20EFAX SATA III 6 Gb/s;80333485;Western Digital;HDWR480EZSTA;55;14590 руб;15590 руб;https://parsinger.ru/html/hdd/4/4_23.html
Жесткий диск 3.5 6 Tb 7200rpm 256Mb cache Toshiba Surveillance S300 HDWT360UZSVA SATA III 6 Gb/s;80212816;Toshiba;Surveillance S300 HDWT360UZSVA;25;16780 руб;17780 руб;https://parsinger.ru/html/hdd/4/4_24.html
Жесткий диск 3.5 500 Gb 7200 rpmrpm 32 MbMb cache Seagate 3.5 SATA III 6 Gb/s ST500DM009;8926331;Seagate;-;29;6540 руб;7740 руб;https://parsinger.ru/html/hdd/4/4_25.html
Жесткий диск 3.5 2 Tb 7200 rpmrpm 256 MbMb cache Western Digital WD20EZBX SATA III 6 Gb/s;80571771;Western Digital;WD20EZBX;69;7670 руб;8360 руб;https://parsinger.ru/html/hdd/4/4_26.html
Жесткий диск 3.5 2 Tb 7200 rpmrpm 256 MbMb cache Seagate Barracuda ST2000DM008 SATA III 6 Gb/s;80185132;Seagate;Barracuda ST2000DM008;19;7110 руб;7910 руб;https://parsinger.ru/html/hdd/4/4_27.html
Жесткий диск 3.5 6 Tb 7200 rpmrpm 256 MbMb cache Toshiba MG06ACA600E SATA III 6 Gb/s;80348865;Toshiba;Barracuda ST2000DM008;37;19650 руб;20650 руб;https://parsinger.ru/html/hdd/4/4_28.html
3.5 Жесткий диск 500Gb Western Digital Caviar Black (WD5003AZEX) SATA III;8042420;Western Digital;Caviar Black WD5003AZEX;27;7910 руб;8970 руб;https://parsinger.ru/html/hdd/4/4_29.html
3.5 Жесткий диск 1Tb Western Digital Caviar Red (WD10EFRX) SATA III;8042257;Western Digital;Caviar Black WD5003AZEX;18;8540 руб;9540 руб;https://parsinger.ru/html/hdd/4/4_30.html
Жесткий диск Toshiba SATA-III 4Tb HDWD240EZSTA;80564371;Toshiba;HDWD240EZSTA;38;11990 руб;12470 руб;https://parsinger.ru/html/hdd/4/4_31.html
Жесткий диск 3.5 2 Tb 7200 rpmrpm 64 MbMb cache Western Digital WD2003FZEX;8406493;Western Digital;WD2003FZEX;138;25040 руб;27040 руб;https://parsinger.ru/html/hdd/4/4_32.html
Defender Warhead G-160;80333758;Defender;Warhead G-160;17;620 руб;910 руб;https://parsinger.ru/html/headphones/5/5_1.html
Apex Pro объемный звук 7.1, кабель 1.8м DEFENDER;80564563;Defender;Apex Pro;97;1310 руб;1910 руб;https://parsinger.ru/html/headphones/5/5_2.html
Игровая гарнитура проводная Crown CMGH-2000;80327367;Defender;CMGH-2000;21;1500 руб;2060 руб;https://parsinger.ru/html/headphones/5/5_3.html
Sven AP-G333MV;80566401;Sven;AP-G333MV;41;870 руб;1150 руб;https://parsinger.ru/html/headphones/5/5_4.html
Игровая гарнитура проводная Sven AP-G300MV;80566400;Sven;AP-G300MV;57;1030 руб;1390 руб;https://parsinger.ru/html/headphones/5/5_5.html
Игровая гарнитура проводная Defender Warhead G-320;80313127;Defender;Warhead G-320;11;670 руб;990 руб;https://parsinger.ru/html/headphones/5/5_6.html
Игровая гарнитура проводная Defender Warhead G-320;80313126;Defender;Warhead G-320;81;700 руб;950 руб;https://parsinger.ru/html/headphones/5/5_7.html
Defender Tanto 64451;803131426;Defender;Tanto;33;590 руб;960 руб;https://parsinger.ru/html/headphones/5/5_8.html
Игровая гарнитура проводная Sven AP-U989MV;80291506;Sven;AP-U989MV;43;3770 руб;4120 руб;https://parsinger.ru/html/headphones/5/5_9.html
Игровая гарнитура проводная Harper Gaming Raster GHS-X15;80291489;Harper;Gaming Raster GHS-X15;47;2440 руб;3040 руб;https://parsinger.ru/html/headphones/5/5_10.html
Гарнитура Defender Scylla;80266028;Defender;Scylla;16;1410 руб;2120 руб;https://parsinger.ru/html/headphones/5/5_11.html
Игровая гарнитура проводная Logitech G332;80257697;Logitech;G332;26;5150 руб;5720 руб;https://parsinger.ru/html/headphones/5/5_12.html
Perfeo STRIKE;80247329;Perfeo;STRIKE;46;900 руб;1120 руб;https://parsinger.ru/html/headphones/5/5_13.html
Гарнитура Defender Lagopasmutus;80247082;Perfeo;Lagopasmutus 2;57;1560 руб;2120 руб;https://parsinger.ru/html/headphones/5/5_14.html
Игровая гарнитура проводная Harper GHS-R100;802471082;Harper;GHS-R100 2;7;1300 руб;1620 руб;https://parsinger.ru/html/headphones/5/5_15.html
Defender Memecoleous;80244710;Defender;Memecoleous;71;2520 руб;2910 руб;https://parsinger.ru/html/headphones/5/5_16.html
Гарнитура Defender TUNE 130;80602579;Defender;TUNE 130;11;750 руб;1310 руб;https://parsinger.ru/html/headphones/5/5_17.html
Игровая гарнитура проводная Sven AP-U880MV;80231237;Sven;AP-U880MV;1;2210 руб;2500 руб;https://parsinger.ru/html/headphones/5/5_18.html
Игровая гарнитура проводная Dialog HGK-20L Gan-Kata;80148581;Dialog;HGK-20L Gan-Kata;15;1120 руб;1500 руб;https://parsinger.ru/html/headphones/5/5_19.html
Logitech G333;802148581;Logitech;G333;11;5330 руб;5780 руб;https://parsinger.ru/html/headphones/5/5_20.html
Sven AP-U990MV Black-Red;80321860;Sven;AP-U990MV;31;3360 руб;3780 руб;https://parsinger.ru/html/headphones/5/5_21.html
Игровая гарнитура проводная Crown CMGH-3100;80327364;Crown;CMGH-3100;28;3110 руб;3290 руб;https://parsinger.ru/html/headphones/5/5_22.html
Гарнитура Redragon Triton;80365321;Defender;Triton;38;4740 руб;5050 руб;https://parsinger.ru/html/headphones/5/5_23.html
Наушники Ritmix RH-540M;80604527;Ritmix;RH-540M;30;830 руб;1200 руб;https://parsinger.ru/html/headphones/5/5_24.html
Гарнитура Redragon Minos;80604527;Defender;Minos;10;2210 руб;3200 руб;https://parsinger.ru/html/headphones/5/5_25.html
ИГРОВАЯ USB-ГАРНИТУРА С ТЕХНОЛОГИЕЙ ОБЪЕМНОГО ЗВУЧАНИЯ HARRIER 360;806045227;Verbatim;Harrier 360;9;4220 руб;5000 руб;https://parsinger.ru/html/headphones/5/5_26.html
Игровая гарнитура проводная Razer Kraken X Lite;80372864;Razer;Kraken X Lite;49;5030 руб;6100 руб;https://parsinger.ru/html/headphones/5/5_27.html
Гарнитура Defender Lester;80380105;Defender;Lester;20;1620 руб;1900 руб;https://parsinger.ru/html/headphones/5/5_28.html
Гарнитура Defender Excidium;80378919;Defender;Excidium;18;1030 руб;1800 руб;https://parsinger.ru/html/headphones/5/5_29.html
Игровая гарнитура проводная Sven AP-G857MV;80601248;Sven;AP-G857MV;18;1660 руб;2000 руб;https://parsinger.ru/html/headphones/5/5_30.html
Perfeo игровая гарнитура ACTION;80572569;Perfeo;-;8;950 руб;910 руб;https://parsinger.ru/html/headphones/5/5_31.html
Наушники HP Pavilion Gaming 600;80387567;HP;Pavilion Gaming 600;38;4480 руб;5910 руб;https://parsinger.ru/html/headphones/5/5_32.html
